# WA7BNM ref id -> friendly contest name
# Source: https://www.contestcalendar.com/cabnames.php (captured 2026-06-02)
# Format: <ref-id>|<Friendly Name>   (ref-id is the contestdetails.php?ref= value)
156|10-10 Int. 10-10 Day Sprint
464|10-10 Int. Fall Contest, Digital
81|10-10 Int. Summer Contest, SSB
237|10-10 Int. Winter Contest, SSB
404|7th Call Area QSO Party
715|A1Club AWT
578|Africa All Mode International DX Contest
7|AGCW QRP/QRP Party
134|Alabama QSO Party
47|All Asian DX Contest, CW
102|All Asian DX Contest, Phone
719|ANZAC Day Contest
686|ARI 40/80 Contest
9|ARI International DX Contest
482|Arizona QSO Party
132|Arkansas QSO Party
88|ARRL 10 GHz and Up Contest
199|ARRL 10-Meter Contest
194|ARRL 160-Meter Contest
615|ARRL 222 MHz and Up Distance Contest
417|ARRL EME Contest
57|ARRL Field Day
716|ARRL Inter. Digital Contest
256|ARRL Inter. DX Contest, CW
289|ARRL Inter. DX Contest, SSB
231|ARRL January VHF Contest
43|ARRL June VHF Contest
502|ARRL Rookie Roundup, CW
501|ARRL Rookie Roundup, RTTY
500|ARRL Rookie Roundup, SSB
217|ARRL RTTY Roundup
254|ARRL School Club Roundup
113|ARRL September VHF Contest
177|ARRL Sweepstakes Contest, CW
178|ARRL Sweepstakes Contest, SSB
764|ARSI VU DX Contest
164|Asia-Pacific Fall Sprint, CW
42|Asia-Pacific Sprint, SSB
773|Atlantic Canada QSO Party
714|Australia Day Contest
599|Balkan HF Contest
28|Baltic Contest
309|BARTG HF RTTY Contest
230|BARTG RTTY Sprint
513|BARTG Sprint 75
703|BARTG Sprint PSK63 Contest
269|British Columbia QSO Party
140|California QSO Party
717|Canadian Prairies QSO Party
122|Collegiate QSO Party
431|Colorado QSO Party
282|Commonwealth (BERU) Contest
673|COVID-19 Radio Communication Event
232|CQ 160-Meter Contest, CW
259|CQ 160-Meter Contest, SSB
192|CQ Worldwide DX Contest, CW
130|CQ Worldwide DX Contest, RTTY
172|CQ Worldwide DX Contest, SSB
768|CQ Worldwide VHF Digital Contest
73|CQ Worldwide VHF SSB/CW Contest
245|CQ WW RTTY WPX Contest
29|CQ WW WPX Contest, CW
291|CQ WW WPX Contest, SSB
14|CQ-M International DX Contest
21|CQMM DX Contest
206|Croatian DX Contest
534|CVA DX Contest, CW
535|CVA DX Contest, SSB
532|CWOps CW Open
498|CWops Test (CWT)
223|DARC 10-Meter Contest
210|DARC Christmas Contest
776|DARC CW-Training Contest
668|DARC Easter Contest
745|DARC FT4 Contest
744|DARC RTTY Sprint
240|Delaware QSO Party
691|DIG QSO Party, CW
690|DIG QSO Party, SSB
568|DRCG WW RTTY Contest
249|Dutch PACC Contest
693|Dutch PACCdigi Contest
403|EA PSK63 Contest
313|EA RTTY Contest
550|EANET Sprint
27|EU PSK DX Contest
219|EUCW 160m Contest
660|EurAsia HF Championship
82|European HF Championship
687|European Union DX Contest
488|F9AA Cup, CW
577|F9AA Cup, PSK
489|F9AA Cup, SSB
692|FIRAC HF Contest
325|Florida QSO Party
762|FRAPR 10M Contest
766|FT Challenge
45|GACW WWSA CW DX Contest
328|Georgia QSO Party
732|Gunung Jati DX Contest
449|HA3NS Sprint Memorial Contest
729|Ham Spirit Contest
730|Ham Spirit Contest, SSB
742|HARC Anniversary QSO Party
96|Hawaii QSO Party
326|Helvetia Contest
651|Hiram Percy Maxim Birthday Celebration
23|His Maj. King of Spain Contest, CW
59|His Maj. King of Spain Contest, SSB
228|Hungarian DX Contest
67|IARU HF World Championship
720|ICWC Medium Speed Test
305|Idaho QSO Party
688|IG-RY World Wide RTTY Contest
167|Illinois QSO Party
743|INDEXA Worldwide QSO Party
8|Indiana QSO Party
484|Iowa QSO Party
758|IRTS 2m Counties Contest
757|IRTS 70cm Counties Contest
756|IRTS 80m Counties Contest
161|JARTS WW RTTY Contest
314|JIDX CW Contest
184|JIDX Phone Contest
785|John Moyle Memorial Field Day
681|K1USN Slow Speed Test
763|K1USN SST Open
734|Kalbar Contest
675|KANHAM Contest
483|Kansas QSO Party
781|Kawanua DX Contest
244|KCJ Topband Contest
371|Kentucky QSO Party
761|LABRE DX Contest
759|LABRE-RS Digi Contest
250|Louisiana QSO Party
187|LZ DX Contest
592|Maine QSO Party
159|Makrothen RTTY Contest
658|Malaysia DX Contest
710|Marconi Club ARI Loano QSO Party Day
769|Marconi Club ARI Loano Slow CW QSO Party
56|Marconi Memorial HF Contest
86|Maryland-DC QSO Party
241|Mexico RTTY International Contest
323|Michigan QSO Party
711|Mini-Test 40
712|Mini-Test 80
238|Minnesota QSO Party
308|Mississippi QSO Party
327|Missouri QSO Party
778|NCCC 55th Anniversary Fiesta
741|NCCC FT4 Sprint
44|NCCC Sprint
405|NCCC Sprint Ladder
336|Nebraska QSO Party
10|New England QSO Party
71|New Hampshire QSO Party
92|New Jersey QSO Party
286|New Mexico QSO Party
473|New York QSO Party
727|North American Meteor Scatter Sprint
218|North American QSO Party, CW
263|North American QSO Party, RTTY
229|North American QSO Party, SSB
253|North American Sprint, CW
155|North American Sprint, RTTY
242|North American SSB Sprint Contest
265|North Carolina QSO Party
468|North Dakota QSO Party
562|NRAU 10m Activity Contest
220|NRAU-Baltic Contest, CW
222|NRAU-Baltic Contest, SSB
706|NRRL MGM Weekend Contest
721|NZART Memorial Contest
151|Oceania DX Contest, CW
142|Oceania DX Contest, Phone
100|Ohio QSO Party
204|OK DX RTTY Contest
185|OK/OM DX Contest, CW
567|OK/OM DX Contest, SSB
293|Oklahoma QSO Party
554|Old New Year Contest
357|Ontario QSO Party
334|Open Ukraine RTTY Championship
722|Pajajaran Bogor DX Contest
153|Pennsylvania QSO Party
775|Popov Memorial Contest
679|Portable Operations Challenge
41|Portugal Day Contest
53|Quebec QSO Party
60|RAC Canada Day Contest
205|RAC Winter Contest
209|RAEM Contest
645|RCC Cup
782|Real Time Contest
233|REF Contest, CW
260|REF Contest, SSB
780|Romanian Diaspora SSB Contest
252|RSGB 1.8 MHz Contest
458|RSGB 80m Autumn Series, CW
617|RSGB 80m Autumn Series, Data
459|RSGB 80m Autumn Series, SSB
275|RSGB 80m Club Championship, CW
274|RSGB 80m Club Championship, Data
273|RSGB 80m Club Championship, SSB
627|RSGB AFS Contest, CW
653|RSGB FT4 Contest
718|RSGB FT4 International Activity Day
662|RSGB Hope QSO Party
74|RSGB International Low Power Contest
75|RSGB IOTA Contest
37|RSGB National Field Day
106|RSGB SSB Field Day
669|RTTYOPS Weekend Sprint
670|RTTYOPS Weeksprint
202|Russian 160-Meter DX Contest
94|Russian District Award Contest
310|Russian DX Contest
258|Russian PSK WW Contest
103|Russian RTTY WW Contest
570|Russian WW Digital Contest
574|Russian WW MultiMode Contest
774|Russian YL/OM Contest
787|Samuel Morse Memorial Contest
101|SARL HF CW Contest
545|SARL HF Digital Contest
78|SARL HF Phone Contest
211|SARTG New Year RTTY Contest
87|SARTG WW RTTY Contest
121|Scandinavian Activity Contest, CW
131|Scandinavian Activity Contest, SSB
680|SCRY/RTTYOps WW DX RTTY Contest
749|SEC QSO Party
616|Solar Eclipse QSO Party
598|South America 10 Meter Contest
728|South American Integration Contest CW
123|South Carolina QSO Party
492|South Dakota QSO Party
312|SP DX Contest
207|Stew Perry Topband Challenge
115|Tennessee QSO Party
725|Tennessee State Parks on the Air
566|TESLA Memorial HF CW Contest
133|Texas QSO Party
559|Texas State Parks on the Air
777|Tipalayo DX Contest
678|Tisza Cup CW Contest
637|TRC Digi Contest
536|TRC DX Contest
788|Tuesday's Telegraphy Contest
779|Turkey HF SSB Contest
169|U.S. Islands QSO Party
697|UA1DZ Memorial Cup
261|UBA DX Contest, CW
235|UBA DX Contest, SSB
165|UBA ON Contest, 2m
139|UBA ON Contest, 6m
157|UBA ON Contest, CW
144|UBA ON Contest, SSB
576|UBA PSK63 Prefix Contest
297|UBA Spring Contest, 2m
298|UBA Spring Contest, 6m
295|UBA Spring Contest, CW
296|UBA Spring Contest, SSB
603|UFT QRP Contest
597|UK/EI DX Contest, CW
596|UK/EI DX Contest, SSB
583|UKEICC 80m Contest
542|Ukrainian DX Classic RTTY Contest
176|Ukrainian DX Contest
55|Ukrainian DX DIGI Contest
480|UN DX Contest
765|URC DX RTTY Contest
236|Vermont QSO Party
302|Virginia QSO Party
481|VK Shires Contest
13|VOLTA WW RTTY Contest
85|WAE DX Contest, CW
183|WAE DX Contest, RTTY
111|WAE DX Contest, SSB
126|Washington State Salmon Run
753|Weekly RTTY Test
49|West Virginia QSO Party
421|Winter Field Day
330|Wisconsin QSO Party
163|Worked All Germany Contest
546|Worked All Provinces of China DX Contest
783|World Time Zone Challenge
755|World Wide Argentina DX Contest
650|World Wide Digi DX Contest
319|World Wide Holyland Contest
672|Worldwide Sideband Activity Contest
471|WW PMC Contest
630|YARC QSO Party
747|YB Banggai DX Contest
746|YB Bekasi Merdeka Contest
621|YB DX Contest
642|YB DX RTTY Contest
772|YB ORARI DX Contest
353|YLRL YL-OM Contest
98|YO DX HF Contest
696|YOTA Contest
322|YU DX Contest
367|Yuri Gagarin International DX Contest
737|ZL Sprint
